locale|uk_UA
SYSTEM_CREW_MOD_OCM_DESC|OCM-36 від Obonto Microengineering повністю оновлює житлові приміщення корабля сучасними зручностями, які будуть дуже знайомі тим, хто відвідував чи жив на їхніх станціях. Ця покупка повністю покриває вартість праці реноваторів Obonto (або інших ліцензованих), що включає використання  системи штучного інтелекту класу 2 Nakamura Dynamics 2 для оптимізації різноманітних внутрішніх геометрій.\n\nЯкщо розділені каюти для екіпажу з регульованими ліжками, незалежними розважальними системами та ванними кімнатами не є достатніми, то завжди є повноцінна кухня бренду Yamato у камбузі, різноманітна і простора зона відпочинку та сучасне, стильне оновлення кабіни - не кажучи вже про приємне облицювання стін і низькопрофільні поручні для навігації в умовах невагомості.

SYSTEM_CREW_MOD_OCM_SPECS|Щоденне зниження морального духу екіпажу: -50% (відмінно) \nВиробник: Obonto Microengineering



SYSTEM_CREW_MOD_MANUAL|Збільшує або зменшує щоденне зниження морального духу екіпажу під час експлуатації. \nНезадоволений екіпаж може призвести до гірших результатів експлуатації. \nНе вимагає енергії чи тепла реактора.

SYSTEM_MAIN_ENGINE_NANI|Модернізація двигуна SSE NANI

SYSTEM_MAIN_ENGINE_NANI_DESC|Цей комічно непрактичний і абсолютно огидний головний рушій є логічним завершенням багатьох ночей, проведених за випивкою та роздумами про мету життя. Прийшовши до висновку, що її немає, команда Sin Space Engineering зібралася з думками і створила цю річ. \n\nЗастереження: Omaewamou-Shindeiru вважає, що це дуже смішно і повністю схвалює використання NANI в якості рушія. Може анулювати гарантію на судно. Використання як головного двигуна в деяких судинах може пошкодити ваш реактор.

SYSTEM_MAIN_ENGINE_NANI_SPECS|Тяга: 3,450 kN \nШвидкість вихлопу: 132 км/c \nВитрата робочої маси: 0.5 кг/c \nЕнергоспоживання: 200 MW \nТеплоспоживання: 2 GW \nРобоча маса: Надкритична рідка уранова сіль \nЧас роботи: 1 хвилина (прибл.) \nМаса: 10,000 кг \nВиробник: Sin Space Engineering / Omaewamou-Shindeiru



SYSTEM_MAIN_ENGINE_GEMINI|Подвійний двигун MA-NTR600-II 

SYSTEM_MAIN_ENGINE_GEMINI_DESC|NTR600-II, також відомий як "Gemini", - це подвійний магнітоплазмодинамічний рушій, здатний забезпечити пристойну тягу з відмінною ефективністю і надійністю.  \n\nЗастереження:  технічне обслуговування цієї конструкції повинно виконуватися тільки інженерами Mitsudaya-Starbus або ліцензованими субпідрядниками. Страхові плани поки що недоступні у зовнішній сонячній системі.

SYSTEM_MAIN_ENGINE_GEMINI_SPECS|Тяга: 1,200 kN \nШвидкість вихлопу: 28 км/c \nВитрата робочої маси: 52 кг/c \nЕнергоспоживання: 250 MW \nТеплоспоживання: 16.8 GW \nРежим роботи: Змінна тяга \nРобоча маса: Воднева плазма \nМаса: 4,350 кг \nВиробник: Mitsudaya-Starbus



SYSTEM_MAIN_ENGINE_SOYUZ|Четверний двигун RA-TNTRL-R44 

SYSTEM_MAIN_ENGINE_SOYUZ_DESC|Це вже не фантазія, що цей "рушій" існує. Rusatom-Antonoff мав на меті конкурувати з іншими багато-двигунними збірками, представивши свою власну, але розробка йшла повільно, і до кінця 22-го століття було випробувано багато прототипів, які зазнали невдачі, не знайшовши жодного життєздатного рішення. \n\nМіфи про процес його винайдення різняться, але загалом припускають, що провідного конструктора проекту відвідав уві сні привид легендарного радянського інженера-ракетобудівника Валентина Глушка. Він промовив одне слово "Союз", а потім пішов, залишивши маневровий двиген К44 біля ніг конструктора. \n\nВиробництво цих комбінованих двигунів триває і донині, і це одна з причин, чому рушій К44 все ще такий поширений.

SYSTEM_MAIN_ENGINE_SOYUZ_SPECS|Тяга: 1,600 kN \nШвидкість вихлопу: 15 км/c \nВитрата робочої маси: 106.4 кг/c \nЕнергоспоживання: 60 MW \nТеплоспоживання: 12.0 GW \nРежим роботи: Імпульсна тяга \nРобоча маса: Киснево-воднева плазма \nМаса: 650 кг \nВиробник: Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_THUNDER|Четверний двигун RA-K69V 

SYSTEM_MAIN_ENGINE_THUNDER_DESC|Цей рушій - виготовлений на замовлення елемент обладнання, який використовує раму R44 і замінює його двигуни на двигуни K69V, в комплекті з кріпленнями карданного підвісу, якими ця лінійка так відома серед гонщиків кілець. Установку можна доповнити опціональною і повністю легальною модифікацією транспондера "класу Thunderbarge".

SYSTEM_MAIN_ENGINE_THUNDER_SPECS|Тяга: 1,600 kN \nШвидкість вихлопу: 12 км/c \nВитрата робочої маси: 133.2 кг/c \nЕнергоспоживання: 100 MW \nТеплоспоживання: 14.4 GW \nРежим роботи: Імпульсна тяга, Змінний вектор тяги \nМаксимальне відхилення двигуна: 25 град \nШвидкість зміни вектору тяги: 360 град/c \nРобоча маса: Киснево-воднева плазма \nМаса: 950 кг \nВиробник: Custom-built / Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_PIN1200|Двигун RMS Pin-M200 

SYSTEM_MAIN_ENGINE_PIN1200_DESC|У двигуні Pin-M200 компанії Rasamama Material Solutions реалізована та сама технологія імпульсної індукції, що й у серії твердотільних Pin-150, але у більшому масштабі. Він створює феноменальну тягу з надзвичайною ефективністю, але його справді величезні вимоги до потужності роблять його непрактичним вибором для більшості ядерних термоядерних ракет..

SYSTEM_MAIN_ENGINE_PIN1200_SPECS|Тяга: 1,200 kN \nШвидкість вихлопу: 105 км/c \nВитрата робочої маси: 11.4 кг/c \nЕнергоспоживання: 510 MW \nРежим роботи: Віртуално змінна тяга \nМаксимальне відхилення вектору тяги: 36 град \nРобоча маса: Воднева плазма \nМаса: 2,650 кг \nВиробник: Rasamama Material Solutions



SYSTEM_MAIN_ENGINE_CRACK|Двигун NDDFD

SYSTEM_MAIN_ENGINE_CRACK_DESC|Двигун спрямованої термоядерної детонації від Nakamura Dynamics є одним з найпотужніших - і найперших! - термоядерних рушіїв, що досі існують на ринку. Популяризований тепер сумнозвісною рекламою 2214, що супроводжувалася піснею Vengaboys "Boom, Boom, Boom, Boom", NDDFD використовує потужні електромагніти для подрібнення перегрітих феромагнітних оболонок, що містять дейтерій і тритій під тиском, а потім спрямовує детонацію, що утворюється в результаті, назовні через сопло у вигляді клітки.

SYSTEM_MAIN_ENGINE_CRACK_SPECS|Тяга: 1,800 kN \nШвидкість вихлопу: 1,850 км/c \nВитрата робочої маси: 1 кг/c \nЕнергоспоживання: 445 MW \nРежим роботи: Імпульсна тяга \n Робоча маса: Воднева плазма \nТермоядерне паливо: D-T \nЧас роботи: 30 хвилин (прибл.) \nМаса: 4,650 кг \nВиробник: Nakamura Dynamics


SYSTEM_THRUSTER_PIN150|Маневровий двигун RMS Pin-C50

SYSTEM_THRUSTER_PIN150_DESC|Rasamama Material Solutions Pin-C50 - це унікальна твердотільна рушійна система, яка використовує імпульсну індукцію для прискорення і векторизації водневої плазми без використання будь-яких механічних компонентів, що значно мінімізує проблеми, пов'язані з пошкодженнями, які виникають при використанні звичайних рушіїв. \n\nНезважаючи на неймовірну зносостійкість, встановлення важких плазмопроводів і допоміжної енергетичної інфраструктури, а також безпосереднє вбудовування рушіїв у корпус судна вимагає допомоги спеціалістів, яку може бути важко собі дозволити.

SYSTEM_THRUSTER_PIN150_SPECS|Тяга: 150 kN \nШвидкість вихлопу: 90 км/c \nВитрата робочої маси: 1.6 кг/c \nЕнергоспоживання: 75 MW \nРежим роботи: Віртуално змінна тяга \nМаксимальне відхилення вектору тяги: 36 град \nРобоча маса: Воднева плазма \nМаса: 135 кг (на двигун) \nВиробник: Rasamama Material Solutions



SYSTEM_THRUSTER_BLAST|Маневровий двигун ERS-BlasTR 7200

SYSTEM_THRUSTER_BLAST_DESC|BlasTR від Electro Ride Systems - це повне відхилення від їхнього попереднього NAGHET, в якому використовується гвинтовий магнітоплазмодинамічний прискорювач для досягнення вражаючої тяги при настільки ж неймовірних швидкостях вихлопних газів. Першочергово призначена для гоночних суден, вона також зацікавила операторів важких суден, чиї високі вимоги до тяги довгий час не задовольнялися рушіями з низькою економічністю палива.

SYSTEM_THRUSTER_BLAST_SPECS|Тяга: 450 kN \nШвидкість вихлопу: 22 км/c \nВитрата робочої маси: 20.5 кг/c \nЕнергоспоживання: 72 MW \nТеплоспоживання: 5.0 GW \nРежим роботи: Змінна тяга \nРобоча маса: Киснево-воднева плазма \nМаса: 145 кг (на двигун) \nВиробник: Electro Ride Systems



SYSTEM_THRUSTER_PNTRM|Маневровий двигун ND-PNTRm

SYSTEM_THRUSTER_PNTRM_DESC|Видатний успіх PNTR показав Nakamura Dynamics, що віковічну проблему делікатних шарнірних кріплень можна повністю обійти за допомогою твердотільної технології векторизації тяги, і компанія швидко приступила до роботи над ефективним зменшенням масштабу системи для використання в якості маневрових двигунів. \n\nНезважаючи на низьку швидкість вихлопу чистому вигляді, Імпульсний Ядерний Тепловий Двигун (мікро) компенсує це найбільшим ефективним діапазоном векторної тяги на сучасному ринку. Його низька експлуатаційна вартість і швидкий прогрів роблять його ідеальним для важчих кораблів з обмеженою конфігурацією маневрових двигунів

SYSTEM_THRUSTER_PNTRM_SPECS|Тяга: 450 kN \nШвидкість вихлопу: 8 км/с \nВитрата робочої маси: 56.3 кг/с \nЕнергоспоживання: 40 MW \nТеплоспоживання: 1.8 GW \nРежим роботи: Імпульсна тяга \nМаксимальне відхилення вектору тяги: 72 град \nРобоча маса: Киснево-воднева плазма \nМаса: 25 кг (на двигун) \nВиробник: Nakamura Dynamics

SHIP_TSUKUYOMI_IOT|Фрегат класу "Tsukuyomi" ( списаний)

SHIP_TSUKUYOMI_IOT_DESC|Легкі фрегати класу "Tsukuyomi" були розроблені в 2190 році для військових операцій по всій Сонячній системі. Вони були першими у своєму роді і заклали основу для сучасних тактичних фрегатів, а їхні п'ять реакторів слугували величезними джерелами енергії для потужних рушіїв.  Після виходу з експлуатації сольо-водних ядерних ракет у військовому флоті, багато з них було знищено або продано приватним військовим підрядникам та корпораціям. \n\nЗавдяки верфям Sin Space Engineering, цей корабель повністю демілітаризований і реконструйований для операцій у зонах кілець. Його сольо-водні реактори були замінені трьома модульними контейнерами для встановлення сучасних систем NTR, а торпедні труби на носі були розділені для розширення трюму і додавання чотирьох кріплень для допоміжного обладнання.

SHIP_TSUKUYOMI_IOT_SPECS|Вироблено: Sin Space Engineering / Nakamura Dynamics \nВисокоміцні кріплення: 1 \nТорпедні апарати: 4 \nДок-відсіки: 4 \nТурельні кріплення: 2 \nЕкіпаж: 16 \nСуха маса: 455,350 кг \nВантажний відсік: 1300 м^3 \nСклад обробленого вантажу: 37,500 кг

SYSTEM_REACTOR_TSUYUKOMI_IOT-A|Ядро реактора Tsukuyomi A
SYSTEM_REACTOR_TSUYUKOMI_IOT-B|Ядро реактора Tsukuyomi B
SYSTEM_REACTOR_TSUYUKOMI_IOT-C|Ядро реактора Tsukuyomi C



SHIP_OCP209_DD|ОБП-214-DD "Глибока Тарілка"

SHIP_OCP209_DD_DESC|Модель 214-DD є версією ОБП-209, спеціально адаптованою для видобутку корисних копалин всередині кілець. Конструкція, що підтримує трюм, була опорожнена і покрита для збільшення об'єму необробленого вантажу, а додаткова силова інфраструктура дозволяє встановлювати стандартні аксесуари для вантажних відсіків. \nНезважаючи на очевидні переваги, ця конструкція ускладнює обробку руди, a зменшений об'єм складу для оброблених мінералів на борту змушує капітанів більше покладатися на допоміжне обладнання, ніж на більшості інших суден.

SHIP_OCP209_DD_SPECS|Вироблено: Obonto Microengineering \nВисокоміцні кріплення: 2 \nНизькоміцні кріпленняі: 2 \nДок-відсіки: 4 \nЕкіпаж: 8 \nСуха маса: 190,500 кг\nВантажний відсік: 700 м^3\nСклад обробленого вантажу (сукупний): 36,000 кг


SHIP_OCP209_SNAP|ОБП-207-SNAP "Піранья"

SHIP_OCP209_SNAP_DESC|Модель 207-SNAP - це версія ОБП-209, в якій реалізована конструкція екскаватора, що розглядалася на етапі розробки прототипу. Її важкі подвійні двері краще підходять для дроблення кільцевих астероїдів, ніж у аналогічної моделі - і, на жаль, для тендітного обладнання, яке вона призначена обслуговувати. \n\nЧерез свою унікальну конфігурацію, допомога автопілота для суден зі змінною геометрією на цій моделі недоступна.

SHIP_OCP209_SNAP_SPECS|Вироблено: Obonto Microengineering \nВисокоміцні кріплення: 2 \nНизькоміцні кріпленняі: 2 \nДок-відсіки: 4 \nЕкіпаж: 8 \nСуха маса: 184,500 кг\nВантажний відсік: 610 м^3\nСклад обробленого вантажу (сукупний): 50,000 кг



SHIP_COTHON_LUX|SSE Cothon-2200-XL

SHIP_COTHON_LUX_DESC|Цей неофіційний "модернізований" варіант Cothon-213 Triplet має додатковий 'відсік для екіпажу' (рятувальну капсулу), додаткову пару маневрових двигунів і кілька "преміум" функцій, таких як комбіноване приміщення для відпочинку та їдальня, оббиті дихаючою тканиною сидіння та функціональну вбиральню. Дві капсули з'єднані разом на їхніх базових стикувальних портах і закріплені на рамі стандартним аварійним обладнанням швидкого звільнення. XL означає "Додаткова Любов". \n\nКомпанія Sin Space Engineering не надає жодних гарантій, явних чи неявних.

SHIP_COTHON_LUX_SPECS|Вироблено: Sin Space Engineering / Conlido RVM \nНизькоміцні кріпленняі: 4 \nЕкіпаж: 6 \nСуха маса: 77,250 кг \nВантажний відсік: 260 м^3 \nСклад обробленого вантажу: 25,000 кг



SHIP_MADCERF_CIV|MAD-CERF (цивільне переобладнання)

SHIP_MADCERF_CIV_DESC|Це цивільне переобладнання, здійснене у співпраці з Obonto Microengineering, впроваджує низку змін для задоволення різноманітних вимог середовища кілець. Компактний верхній житловий модуль був перенесений на ніс і замінений розширеною ОБП-стандартною центрифугою, що збільшує ефективну місткість екіпажу до восьми осіб. Крім того, стикувальний відсік був закритий сітчастим кошиком, а затискачі були зняті для підтримки операцій з видобутку мінералів, а в його задній переборці з'явилися величезні розсувні двері для приймання великих вантажів.  Значна частина носової підструктури  також була замінена вантажними відсіками, завдяки чому судно має більше місця для оброблених мінералів, ніж будь-яке інше судно на цивільному ринку.

SHIP_MADCERF_CIV_SPECS|Вироблено: Machines Astro-Dynamiques / Obonto Microengineering \nВисокоміцні кріплення: 1 \nНизькоміцні кріпленняі: 2 \nТурельні кріплення: 2 \nКріплення дронів: 2 \nЕкіпаж: 6 \nСуха маса: 195,000 кг \nВантажний відсік: 1,300 м^3 \nСклад обробленого вантажу: 45,000 кг


SHIP_MADCERF_DESC|Machines Astro-Dynamiques Cernunnos Modèle II, інакше відомий як MAD-CERF, є основним кораблем рятувальних компаній в межах кілець Сатурна. Його важко броньований ніс, розрахований для подорожей в астероїдному поясі, є неелегантним, але ефективним рішенням для багатьох небезпек, які виникають під час міжпланетних подорожей. Два реактори по обидва боки судна живлять свої пари двигунів та маневрових двигунів.



SHIP_OBERON|UMC Oberon MLP-60

SHIP_OBERON_DESC|Oberon MLP-60 - цікавий корабель, виготовлений компанією United Machine Cults. Спочатку це був автономний транспортний засіб, що запускався електромагнітними рейкотронами для орбітальних гоночних подій. Він був витіснений пізнішими одиницями з термоядерними двигунами, але ентузіасти швидко розкупили залишки, і зрештою він потрапив до кілець. Шість стрічкових радіаторів, по три з кожного боку, охолоджують його високопродуктивний реактор і частково захищають відкриті паливні баки, хоча навряд чи це потрібно через комічну кількість маневрових двигунів судна. \n\nДля того, щоб зробити судно придатним для роботи в кільцях, було здійснено декілька модифікацій: його магнітні контакти були розумно переобладнані в два кріплення високої місноцсті, інфраструктура інтерфейсу була вбудована в невеликий вантажний відсік в носовій частині судна для підтримки Установок з Переробки Мінералів (ледь, і з незначним виділеним внутрішнім простором для їх підтримки), а розкішна рятувальна капсула HAL-9001 слугує комфортною кабіною і відсіком для екіпажу.

SHIP_OBERON_SPECS|Вироблено: United Machine Cults / Custom-built \nВисокоміцні кріплення: 2 \nКріплення дронів: 1 \nЕкіпаж: 4 \nСуха маса: 26,400 кг \nВантажний відсік: 50 м^3 \nСклад обробленого вантажу: 12,000 кг (сукупний)

SYSTEM_REACTOR_OBERON|Реактор високої продуктивності Oberon



SHIP_TRTL_RAM|KX37 TNTRL "RAM"

SHIP_TRTL_RAM_DESC|Варіант "Ringa Aftermarket Modification" (RAM) моделі KX37, зазвичай просто називають "Ram", це модифікаційна схема, яка набула популярності у 2269 році після поширення користувачем RingChan з ніком 'BLKCandy'. Ця схема жертвує помірною кількістю місткості для мінералів, щоб додати живлення і напрямні рейки для двох точок кріплення дронів на хвостовій частині хребтів судна, замінює стаціонарні кріплення двигунів на варіанти з карданним підвісом і переробляє RCS блістери для покращеної мобільності. \n\nНайбільш примітною особливістю є подрібнювач породи типу Prospector, придбаний безпосередньо на ринку утилізації. Його установка робить лише незначні поступки комфорту екіпажу, будучи надзвичайно шумною під час роботи і трохи зменшуючи площу підлоги в зоні відпочинку.

SHIP_TRTL_RAM_SPECS|Вироблено: Rusatom-Antonoff / Індивідуальне виготовлення \nВисокоміцні кріплення: 1 \nНизькоміцні кріпленняі: 2 \nКріплення дронів: 2 \nЕкіпаж: 4 \nСуха маса: 42,920 кг \nВантажний відсік: 110 м^3 \nСклад обробленого вантажу: 40,000 кг (сукупний) \nЗахист від ЕМІ: 100 MW

SYSTEM_REACTOR_TNTRL_FORT|Посилений ядерний реактор K37



SHIP_ATLAS_WASP|Розвідник класу Wasp (списанний)

SHIP_ATLAS_WASP_DESC|Вироблені в середині 2200-х років, автоматизовані тактичні розвідники Nakamura Dynamics Wasp класу [ВИДАЛЕНО] використовують [ВИДАЛЕНО] як джерело живлення і [ВИДАЛЕНО], забезпечуючи постійну [ВИДАЛЕНО] мегават електричної енергії, доки [ВИДАЛЕНО] транспортного засобу [ВИДАЛЕНО]. Клітка Фарадея ізолює більшу частину транспортного засобу, захищаючи його від статичних розрядів у щільному космічному середовищі та забезпечуючи зручний вектор розсіювання заряду для [ВИДАЛЕНО]. \n\nОтож, це все було весело? Ця версія, ексклюзивно для вас з верфей Sin Space Engineering, тепер абсолютно розкрита, списана та, мабуть, легалізована, з численними корисними особливостями,  таких як ефективний рідинний маховик, "Корпус реактора", з якого було вирвано [ВИДАЛЕНО] (він був таким, коли ми його отримали), і, ймовірно, функціональний вантажний відсік, і все це увінчано переобладнаною для її задоволення рятувальною капсулою Conlido Classic™. \n\nГарантія? Чорт забирай, ні. Керуй клятим кораблем, Рінга. І якщо хтось запитає, де ви взяли цю штуку, зателефонуйте нам і надішліть свої журнали, щоб отримати 25% знижку на наступну покупку.

SHIP_ATLAS_WASP_SPECS|Вироблено: Sin Space Engineering / Nakamura Dynamics \nНизькоміцні кріпленняі: 2 \nКут видхилення рушііїв: 36 град \nЕкіпаж: 3 \nСуха маса: 8,250 кг \nВантажний відсік: 40 м^3 \nСклад обробленого вантажу: 500 кг \nЗахист від ЕМІ: 320 MW

SYSTEM_REACTOR_JURYRIG|Імпровізований реактор

SYSTEM_REACTIONWHEEL_PERF|Рідинний маховик



SHIP_PROSPECTOR_PIGEON|Pigeon Prospector

SHIP_PROSPECTOR_PIGEON_DESC|Що станеться, коли Pelican і Vulture дуже люблять одне одного? Висока ціна Pigeon повністю зумовлена неймовірними навичками, витраченими на його реалізацію; додаткові зміцнювальні стійки підтримують Високоміцні кріплення на передній частині судна, всю систему живлення та обладнання було перероблено, щоб забезпечити його. Вантаєний відсік також був скорочений, щоб витримати навантаженням, що дозволило встановити стандартний подрібнювач породи.

SHIP_PROSPECTOR_PIGEON_SPECS|Вироблено: Mitsudaya-Starbus / Conlido RVM \nВисокоміцні кріплення: 1 \nНизькоміцні кріпленняі: 2 \nЕкіпаж: 6 \nСуха маса: 70,000 кг \nВантажний відсік: 70 м^3 \nСклад обробленого вантажу: 14,000 кг



SHIP_AT225_STUB|Antonoff-Titan K225-SH

SHIP_AT225_STUB_DESC|Короткий варіант, ласкаво прозваний "Stubby" ентузіастами серії, почав виробництво лише через три роки після надзвичайно успішного запуску базового варіанту і призначений для експрес-транзиту по всій Сонячній системі. SH компенсує втрату середньої частини легкою, маневреною рамою та вбудованими кріпленнями для монтажу нанодронів, що робить його чудовою альтернативою базовій моделі в шахтарських операціях.

SHIP_AT225_STUB_SPECS| Вироблено: Antonoff-Titan Heavy Industries \nНизькоміцні кріпленняі: 2 \nКріплення дронів: 2 \nДок-відсіки: 4 \nЕкіпаж: 12 \nСуха маса: 160,000 кг\nВантажний відсік: 280 м^3 \nСховище обробленого вантажу: 5,000 кг



SHIP_TRTL_OCP|SSE OK720 TNTRL

SHIP_TRTL_OCP_DESC|"О, Боже мій, що це таке?", - сказали вони. "Це не полетить", - сказали вони. "Припиніть нам дзвонити, або ми подамо на вас до суду", - сказали в унісон і Antonoff, і Obonto. Саме в цьому хорі відмов та скиглення ми створили диво, яким є OK720 TNTRL. \n\nДві запасні половинки відсіків від надлишків Obonto та розрізаний труп K37 об'єдналися, щоб створити цей шедевр, спочатку "жарт", опублікований на дошці RingChan /dreamship/ користувачем snownukitro. З по-справжньому величезним вантажним відсіком та підтримкою стандартних для ОБП установок переробки мінералів  та аксесуарів, чотирма кріпленнями низької міцнность для обладнання та неймовірно малою масою для об'єму свого вантажного відсіку, цей монстр ідеально підходить для роботи в кільцях - якщо тільки він ні во що не вріжеться. \n\nНа нього поширюється обмежена гарантія. Ми не замінимо його, якщо ви застрягнете в обмеженому просторі, але продамо вам запасні панелі.

SHIP_TRTL_OCP_SPECS|Вироблено: Rusatom-Antonoff / Obonto Microengineering / Sin Space Engineering \nНизькоміцні кріпленняі: 1 \nДок-відсіки: 4 \nЕкіпаж: 4 \nСуха маса: 86,600 кг \nВантажний відсік: 720 м^3 \nСховище обробленого вантажу: 5,000 кг

SYSTEM_DND_HARVTUG|Дрони-буксири OT Hard-Stop

SYSTEM_DND_HARVTUG_DESC|Система доставки нанодронів Obonto-Titan Hard-Stop є модифікацією системи класу Harvester від THI, налаштованою для м'якої зупинки об'єктів з високим альбедо відносно кілець. Спочатку вироблена для OCP-209 як власний метод запобігання втраті обладнання, ця система згодом була поширена на вторинному ринку після укладення комерційних угод у 2260-х роках.

SYSTEM_DND_HARVTUG_SPECS|Енергоспоживання : 120 MW \nЕфективна дистанція: 800 м (пряма видимість) \nШвидкість запуску дронів: 100 дронів/c \nПочаткова маса дрона: 0.1 кг \nТяга: 1 kN (на дрона) \nМаса: 8,000 кг \nВиробник: Obonto Micro Engineering / Titan Heavy Industries


SYSTEM_DND_HARVHAUL|Дрони-тягачі класу - Harvester THI

SYSTEM_DND_HARVHAUL_DESC|Цей монструозний апарат є промисловою конвеєрною лінією, яка маскується під збирач одноразових нанодронів. Його величезний інфрачервоний лазерний масив і блок виготовлення повинні бути підключені до окремих низькостресових шин, але коли він отримує достатньо енергії, це вражаюче видовище. Поведінка пристрою спрямовує дрони на перехоплення будь-яких об'єктів з високим рівнем альбедо і буксирує їх до вашого корабля.

SYSTEM_DND_HARVHAUL_SPECS|Енергоспоживання : 120 MW \nЕфективна дистанція: 800 м (пряма видимість) \nШвидкість запуску дронів: 100 дронів/c \nПочаткова маса дрона: 0.1 кг \nТяга: 1 kN (на дрона) \nМаса: 8,000 кг \nВиробник: Titan Heavy Industries



SYSTEM_EXODYN|Вантажний контейнер THI Dyna-Cargo

SYSTEM_EXODYN_DESC|Експериментальний динамічний варіант вантажного контейнера THI, випущений у продаж в середині 2200-х років. Для функціонування бункеру необхідна Установка Переробки Мінералів. Придбання обладнання для експлуатації контейнеру супроводжується договором оренди, який покриває постачання нових автономних модулів протягом усього терміну дії ліцензії власника\n\nDyna-Cargo є товарним знаком Titan Heavy Industries. Усі права захищені. Адміністрація станції попереджає, що використання певних конфігурацій маневрових двигунів може призвести до перегріву мікрореактора вантажного контейнера. Всю відповідальність беруть на себе власники вантажного контейнера. 


SYSTEM_EXODYN_SPECS|Вантажність: 72,000 кг (сукупна) \nЕнергоспоживання (номінальне): 20 MW \nМаса контейнеру: 500 кг \nВиробник: Titan Heavy Industries


SYSTEM_EXOBIG|Вантажний контейнер THI Jumbo 

SYSTEM_EXOBIG_DESC|'Jumbo' - це варіант вантажного контейнера THI, який


SYSTEM_EXSTORAGE_ALT|Вантажний контейнер THI-CC (Альтернативний)

SYSTEM_EXSTORAGE_ALT_DESC|TВантажні контейнери Titan Heavy Industries - це повністю автономні бункери, здатні доставляти вантаж перероблених мінералів із зони видобутку на станцію. Контейнер самостійно поврнеться на станцію після від'єднання від корабля. Для функціонування бункеру необхідна Установка Переробки Мінералів. Придбання обладнання для експлуатації контейнеру супроводжується договором оренди, який покриває постачання нових автономних модулів протягом усього терміну дії ліцензії власника. \n\nАдміністрація станції попереджає, що використання певних конфігурацій маневрових двигунів може призвести до перегріву мікрореактора вантажного контейнера. Всю відповідальність беруть на себе власники вантажного контейнера. \n\nЦя альтернативна версія для серії Prospector розташовується в середній частині судна для покращеного маневрування.


SYSTEM_EXMONO_ALT|Моновантажний контейнер THI (Альтернативний)

SYSTEM_EXMONO_ALT_DESC|Однорудний варіант стандартного вантажного контейнера THI для спеціалізованих видобувних рейсів, які зосереджуються на зборі лише одного типу мінералу. Для функціонування бункеру необхідна Установка Переробки Мінералів. Придбання обладнання для експлуатації контейнеру супроводжується договором оренди, який покриває постачання нових автономних модулів протягом усього терміну дії ліцензії власника \n\nАдміністрація станції попереджає, що використання певних конфігурацій маневрових двигунів може призвести до перегріву мікрореактора вантажного контейнера. Всю відповідальність беруть на себе власники вантажного контейнера. \n\nЦя альтернативна версія для серії Prospector розташовується в середній частині судна для покращеного маневрування.

SYSTEM_EXODYN_ALT|Вантажний контейнер THI Dyna-Cargo (Альтернативний)

SYSTEM_EXODYN_ALT_DESC|Експериментальний динамічний варіант вантажного контейнера THI, випущений у продаж в середині 2200-х років. Для функціонування бункеру необхідна Установка Переробки Мінералів. Придбання обладнання для експлуатації контейнеру супроводжується договором оренди, який покриває постачання нових автономних модулів протягом усього терміну дії ліцензії власника\n\nDyna-Cargo є товарним знаком Titan Heavy Industries. Усі права захищені. Адміністрація станції попереджає, що використання певних конфігурацій маневрових двигунів може призвести до перегріву мікрореактора вантажного контейнера. Всю відповідальність беруть на себе власники вантажного контейнера.  \n\nTЦя альтернативна версія для серії Prospector розташовується в середній частині судна для покращеного маневрування.

SYSTEM_FUEL_1000000|2x Масив баків пропеленту вантажного судна

SYSTEM_FUEL_1000000_DESC|Подвоєний масив баків пропеленту класу вантажного судна, який може вмістити до 1 000 000 кг пропеленту для теплових ракет. Стільникові комірки запобігають зсуву маси під час маневрів.

SYSTEM_FUEL_1000000_SPECS|Місткість: 1 000 000 kg \nТип робочої маси: Для теплових ракет


SYSTEM_FUEL_2000000|Масив баків пропеленту фрегата

SYSTEM_FUEL_2000000_DESC|Розгалужений масив баків пропеленту військового класу, що був виведений з експлуатації, який може вмістити до 2 000 000 кг пропеленту для теплових ракет. Стільникові комірки запобігають зсуву маси під час маневрів.

SYSTEM_FUEL_2000000_SPECS|Місткість: 2 000 000 kg \nТип робочої маси: Для теплових ракет

SYSTEM_SALVAGE_ARM_HEAVY|Rusatom-Antonoff ORD

SYSTEM_SALVAGE_ARM_HEAVY_DESC|Протягом співпраці над KTA24 компанія Rusatom-Antonoff швидко визнала недоліки Triskellion-Armstrong AR-1500. Повільний і делікатний пристрій, який використовується як інструмент для видобутку руди, швидко зношує його точні сервоприводи і ретельно сконструйований докінг-адаптер. ORD - це їхня відповідь на ці недоліки. \n\nХоча він є особливо важким і енергоємним через свою громіздку опорну конструкцію, його зносостійкі двигуни і підшипники є життєздатною і довговічною альтернативою аналогам.

