locale|en
SHIP_PROSPECTOR_PIGEON_DESC|What happens when a Pelican and a Vulture love eachother very much? They make this thing - or so it goes. The Pigeon's high price point is entirely on account of the incredible skill that went into its implementation; additional girding struts support a high-stress hardpoint to the fore of the vessel, the entire power and equipment feed system having been reworked to accommodate it. The bay has also been shortened to handle the stress, which has permitted reinstallation of a standard grinder.

SHIP_PROSPECTOR_PIGEON_SPECS|Make: Mitsudaya-Starbus / Conlido RVM \nHigh-Stress Hardpoints: 1 \nLow-Stress Hardpoints: 2 \nDrone Bays: 2 \nCrew: 6 \nDry mass: 70,000 kg \nCargo bay: 70 m^3 \nProcessed cargo storage: 14,000 kg



SHIP_AT225_STUB|Antonoff-Titan K225-SH

SHIP_AT225_STUB_DESC|The Short Haul variant, affectionately nicknamed the "Stubby" by series enthusiasts, began manufacture only three years following the wildly-successful launch of its base variant, and is designed to fill express transit roles throughout the solar system. The SH makes up for the loss of its midsection with its light, maneuverable frame and in-built nanodrone assembler mounts, the latter of which makes it an excellent alternative to the base model in mining operations.

SHIP_AT225_STUB_SPECS|Make: Antonoff-Titan Heavy Industries \nLow-Stress Hardpoints: 2 \nDrone Bays: 2 \nDocking Bays: 4 \nCrew: 12 \nDry mass: 160,000 kg\nCargo bay: 280 m^3 \nProcessed cargo storage: 5,000 kg



SHIP_TRTL_OCP|SSE OK720 TNTRL

SHIP_TRTL_OCP_DESC|"Oh, dear God, what is that?", they said. "That won't fly," they said. "Stop calling us or we'll press charges," both Antonoff and Obonto said, in unison. It was in this chorus of naysaying and whining that we created the miracle that is the OK720 TNTRL. \n\nTwo spare bay halves from Obonto surplus and the resectioned corpse of a K37 come together to create this masterpiece, originally a "joke" posted to the RingChan /dreamship/ board by user snownukitro. With a truly enormous cargo bay and support hardware for OCP-standard MPUs and accessories, four low-stress equipment hardpoints, and incredibly low mass for the volume of its bay, this monster is perfectly suited for ring mining - as long as it doesn't hit anything. \n\nLimited warranty applies. We won't replace it if you get stuck in a tight space, but we'll sell you replacement panels.

SHIP_TRTL_OCP_SPECS|Make: Rusatom-Antonoff / Obonto Microengineering / Sin Space Engineering \nLow-Stress Hardpoints: 1 \nLow-Stress Hardpoints: 4 \nCrew: 4 \nDry mass: 86,600 kg \nCargo bay: 720 m^3 \nProcessed cargo storage: 5,000 kg

SYSTEM_DND_HARVTUG|OT Hard-Stop Tug Drones

SYSTEM_DND_HARVTUG_DESC|The Obonto-Titan Hard-Stop nanodrone delivery system is a modification of THI's Harvester-class system, configured to bring high-albedo objects to a gentle stop relative to the rings. Originally manufactured for the OCP-209 as a proprietary equipment loss method, it has since seen distribution on the aftermarket following commerce agreements in the 2260s.

SYSTEM_DND_HARVTUG_SPECS|Power draw: 120 MW \nEffective range: 800 m (line of sight) \nDrone launch capability: 100 dps \nDrone wet mass: 0.1 kg \nThrust: 1 kN (per drone) \nMass: 8,000 kg \nManufacturer: Obonto Micro Engineering / Titan Heavy Industries


SYSTEM_DND_HARVHAUL|THI Harvester-class Haul Drones

SYSTEM_DND_HARVHAUL_DESC|This monstrous piece of hardware is an industrial assembly line masquerading as a disposable nanodrone assembler. Its enormous infrared laser array and fabrication unit have be connected to individual low-stress buses, but when it has enough power, it's a thing to behold. The unit's behaviour guides drones to intercept any high-albedo objects and tows them towards your ship.

SYSTEM_DND_HARVHAUL_SPECS|Power draw: 120 MW \nEffective range: 800 m (line of sight) \nDrone launch capability: 100 dps \nDrone wet mass: 0.1 kg \nThrust: 1 kN (per drone) \nMass: 8,000 kg \nManufacturer: Titan Heavy Industries



SYSTEM_EXODYN|THI Dyna-Cargo Container

SYSTEM_EXODYN_DESC|An experimental dynamic variant of the THI Cargo Container, released to the public in the mid-2200s. Requires on-site mineral processing units to utilise. The equipment purchase of the cargo cradle comes with a lease covering the resupply of new pods for as long as the owner holds the license. \n\nDyna-Cargo is a trademark of Titan Heavy Industries. All rights reserved. Station control warns that retrofit with certain RCS configurations may risk overheating the Cargo Container's micro-reactor. Captains assume all such liability.


SYSTEM_EXODYN_SPECS|Cargo capacity: 72,000 kg (combined) \nPower usage (nominal): 20 MW \nCradle mass: 500 kg \nManufacturer: Titan Heavy Industries


SYSTEM_EXOBIG|THI Jumbo Cargo Container

SYSTEM_EXOBIG_DESC|The 'Jumbo' is a variant of the THI Cargo Container that


SYSTEM_EXSTORAGE_ALT|THI Cargo Container (Alternate)

SYSTEM_EXSTORAGE_ALT_DESC|The Titan Heavy Industries Cargo Containers are fully autonomous storage pods that can relay processed minerals from a mining site. When the cradle is powered down, the pod will return to the designated station. These require on-site mineral processing units to utilize. The equipment purchase of the cargo cradle comes with a lease covering the resupply of new pods for as long as the owner holds the license. \n\nStation control warns that retrofit with certain RCS configurations may risk overheating the Cargo Container's micro-reactor. Captains assume all such liability. \n\nThis alternate version for the Prospector series is placed at the midships for enhanced manoeuvring.


SYSTEM_EXMONO_ALT|THI Monocargo Container (Alternate)

SYSTEM_EXMONO_ALT_DESC|A single-ore variant of the standard THI Cargo Container for specialized mining runs that focus on the collection of only one mineral type. These require on-site mineral processing units to utilize. The equipment purchase of the cargo cradle comes with a lease covering the resupply of new pods for as long as the owner holds the license. \n\nStation control warns that retrofit with certain RCS configurations may risk overheating the Cargo Container's micro-reactor. Captains assume all such liability. \n\nThis alternate version for the Prospector series is placed at the midships for enhanced manoeuvring.


SYSTEM_EXODYN_ALT|THI Dyna-Cargo Container (Alternate)

SYSTEM_EXODYN_ALT_DESC|An experimental dynamic variant of the THI Cargo Container, released to the public in the mid-2200s. Requires on-site mineral processing units to utilise. The equipment purchase of the cargo cradle comes with a lease covering the resupply of new pods for as long as the owner holds the license. \n\nDyna-Cargo is a trademark of Titan Heavy Industries. All rights reserved. Station control warns that retrofit with certain RCS configurations may risk overheating the Cargo Container's micro-reactor. Captains assume all such liability. \n\nThis alternate version for the Prospector series is placed at the midships for enhanced manoeuvring.

SYSTEM_THRUSTER_PIN150|RMS Pin-C50 thruster

SYSTEM_THRUSTER_PIN150_DESC|The Rasamama Material Solutions Pin-C50 is a unique solid-state thruster system that utilises pulsed induction to accelerate and vector hydrogen plasma without the need for any mechanical components, massively minimising the damage-related issues associated with conventional thrusters. \n\nWhile incredibly hard-wearing, the installation of heavy plasma conduits and supporting power infrastructure, as well as the thrusters' direct embedment into the vessel hull, requires specialist assistance that may be difficult to afford.

SYSTEM_THRUSTER_PIN150_SPECS|Thrust: 150 kN \nExhaust velocity: 90 km/s \nPropellant consumption: 1.6 kg/s \nPower consumption: 90 MW \nOperation mode: Virtual variable thrust \nVectored thrust angle: 36 deg \nPropellant: Hydrogen plasma \nMass: 185 kg (per thruster) \nManufacturer: Rasamama Material Solutions



SYSTEM_THRUSTER_BLAST|ERS-BlasTR 7200 thruster

SYSTEM_THRUSTER_BLAST_DESC|Electro Ride Systems' BlasTR is a complete deviation from their previous NAGHET, utilising a helical magnetoplasmadynamic accelerator to achieve spectacular thrust at equally improbable exhaust velocities. Primarily marketed towards racing ships, it has also seen interest from operators of heavy vessels, whose high thrust requirements have long been overserved by thrusters with poor propellant economies.

SYSTEM_THRUSTER_BLAST_SPECS|Thrust: 450 kN \nExhaust velocity: 22 km/s \nPropellant consumption: 20.5 kg/s \nPower consumption: 72 MW \nThermal consumption: 5.0 GW \nOperation mode: Variable thrust \nPropellant: Oxygen-Hydrogen plasma \nMass: 145 kg (per thruster) \nManufacturer: Electro Ride Systems



SYSTEM_THRUSTER_PNTRM|ND-PNTRm thruster

SYSTEM_THRUSTER_PNTRM_DESC|The remarkable success of the PNTR indicated to Nakamura Dynamics that the age-old problem of delicate gimbal mounts could be entirely sidestepped with solid-state thrust vectoring technology, and the company quickly set to work on effectively downscaling the system for use as RCS thrusters.  \n\nDespite its poor exhaust velocity as a pure NTR, the Pulsed Nuclear Thermal Rocket (Micro) makes up for it with the largest effective thrust vectoring range on the market today. Its low operational cost and fast warmup makes it ideal for heavier ships with limited RCS thruster layouts.

SYSTEM_THRUSTER_PNTRM_SPECS|Thrust: 450 kN \nExhaust velocity: 8 km/s \nPropellant consumption: 56.3 kg/s \nPower consumption: 40 MW \nThermal consumption: 1.8 GW \nOperation mode: Pulsed thrust \nVectored thrust angle: 72 deg \nPropellant: Oxygen-Hydrogen plasma \nMass: 25 kg (per thruster) \nManufacturer: Nakamura Dynamics

SYSTEM_FUEL_1000000|2x Freighter propellant tank array

SYSTEM_FUEL_1000000_DESC|A doubled-up array of freighter-class propellant tanks that can hold up to 1,000,000 kg of propellant for thermal rockets. Honeycombed cells prevent mass shifts during maneuvers.

SYSTEM_FUEL_1000000_SPECS|Capacity: 1,000,000 kg \nPropellant type: Thermal Rocket



SYSTEM_FUEL_2000000|Frigate propellant tank array

SYSTEM_FUEL_2000000_DESC|A sprawling, decommissioned military-class fuel tank array that can hold up to 2,000,000 kg of propellant for thermal rockets. Honeycombed cells prevent mass shifts during maneuvers.

SYSTEM_FUEL_2000000_SPECS|Capacity: 2,000,000 kg \nPropellant type: Thermal Rocket

SYSTEM_MAIN_ENGINE_NANI|SSE NANI Torch Refit

SYSTEM_MAIN_ENGINE_NANI_DESC|This comically impractical and completely disgusting main torch is the ultimate logical conclusion of many a night spent drinking and ruminating on life's purpose. Coming to the determination that there isn't one, the team at Sin Space Engineering put their heads together and produced this thing. \n\nDisclaimer: Omaewamou-Shindeiru thinks this is really funny and fully endorses the NANI's use as a propulsion solution. May void vessel warranty. Usage as main torch in some vessels may damage your reactor. Have fun!

SYSTEM_MAIN_ENGINE_NANI_SPECS|Thrust: 3,450 kN \nExhaust velocity: 132 km/s \nPropellant consumption: 0.5 kg/s \nPower consumption: 200 MW \nThermal consumption: 2 GW \nPropellant: Supercritical liquid uranium salt \nBurn time: 1 minute (est) \nMass: 10,000 kg \nManufacturer: Sin Space Engineering / Omaewamou-Shindeiru



SYSTEM_MAIN_ENGINE_GEMINI|MA-NTR600-II dual engine

SYSTEM_MAIN_ENGINE_GEMINI_DESC|The NTR600-II, otherwise known as the "Gemini", is a dual-mounted magnetoplasmadynamic torch unit capable of delivering decent thrust with excellent efficiency and reliability. \n\nDisclaimer: maintenance of this unit is to be performed only by Mitsudaya-Starbus engineers or licensed sub-contractors. Insurance plans are not yet available in the outer solar system.

SYSTEM_MAIN_ENGINE_GEMINI_SPECS|Thrust: 1,200 kN \nExhaust velocity: 28 km/s \nPropellant consumption: 52 kg/s \nPower consumption: 250 MW \nThermal consumption: 16.8 GW \nOperation mode: Variable thrust \nPropellant: Hydrogen plasma \nMass: 4,350 kg \nManufacturer: Mitsudaya-Starbus



SYSTEM_MAIN_ENGINE_SOYUZ|RA-TNTRL-R44 quad engine

SYSTEM_MAIN_ENGINE_SOYUZ_DESC|It's by no stretch of the imagination that this "torch" exists. Rusatom-Antonoff aimed to compete with other multiple-torch assemblies by introducing their own, but development was slow, and by the end of the 22nd century, many prototypes had been tried and failed with no viable solutions. \n\nMyths of its invention process vary, but generally suggest that the lead designer on the project was visited in a dream by the ghost of legendary Soviet rocket engineer Valentin Glushko. He spoke one word, 'Soyuz', and then departed, leaving the K44 RCS thruster at the designer's feet. \n\nProduction of these combined units continues to this day, and is part of the reason why the K44 thruster is still so abundant.

SYSTEM_MAIN_ENGINE_SOYUZ_SPECS|Thrust: 1,600 kN \nExhaust velocity: 15 km/s \nPropellant consumption: 106.4 kg/s \nPower consumption: 60 MW \nThermal consumption: 12.0 GW \nOperation mode: Pulsed thrust \nPropellant: Oxygen-Hydrogen plasma \nMass: 650 kg \nManufacturer: Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_THUNDER|RA-K69V quad engine

SYSTEM_MAIN_ENGINE_THUNDER_DESC|This torch is a custom-engineered piece of equipment that takes the frame of an R44 and replaces its engines with K69V thrusters, complete with the gimbal mountings the line is so famous for among ringside racers. Installation comes with optional and entirely legal "Thunderbarge-class" transponder modification. Personal grappling hook available on special request.

SYSTEM_MAIN_ENGINE_THUNDER_SPECS|Thrust: 1,600 kN \nExhaust velocity: 12 km/s \nPropellant consumption: 133.2 kg/s \nPower consumption: 100 MW \nThermal consumption: 14.4 GW \nOperation mode: Pulsed thrust, gimballed \nGimbal angle: 25 deg \nGimbal speed: 360 deg/s \nPropellant: Oxygen-Hydrogen plasma \nMass: 950 kg \nManufacturer: Custom-built / Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_PIN1200|RMS Pin-M200 engine

SYSTEM_MAIN_ENGINE_PIN1200_DESC|The Rasamama Material Solutions Pin-M200 implements the same pulsed induction technology that powers its Pin-150 series of solid-state RCS thrusters on a larger scale. It produces phenomenal thrust with remarkable efficiency, but its truly enormous power requirements make it an impractical choice for most nuclear thermal rockets.

SYSTEM_MAIN_ENGINE_PIN1200_SPECS|Thrust: 1,200 kN \nExhaust velocity: 105 km/s \nPropellant consumption: 11.4 kg/s \nPower consumption: 510 MW \nOperation mode: Virtual variable thrust, gimballed \nGimbal angle: 36 deg \nGimbal speed: instantaneous \nPropellant: Hydrogen plasma \nMass: 2,650 kg \nManufacturer: Rasamama Material Solutions



SYSTEM_MAIN_ENGINE_CRACK|NDDFD engine

SYSTEM_MAIN_ENGINE_CRACK_DESC|The Directed Fusion Detonation engine by Nakamura Dynamics is one of the most powerful - and earliest! - fusion propulsion solutions still on the market. Popularised by a now-infamous 2214 advertisement backed by the Vengaboys' "Boom, Boom, Boom, Boom", the NDDFD utilises powerful electromagnets to crush remass-heated ferromagnetic shells containing pressurised deuterium and tritium, then direct the resultant detonation out of its cage-like nozzle assembly. \n\nUnlike its competitor, the NDDFD requires a enormous and continuous supply of power to maintain propulsion, and its relatively large pellets and specialised feed hardware dramatically limits its fuel capacity in small vessels.

SYSTEM_MAIN_ENGINE_CRACK_SPECS|Thrust: 1,800 kN \nExhaust velocity: 1,850 km/s \nPropellant consumption: 1 kg/s \nPower consumption: 445 MW \nOperation mode: Pulsed thrust \n Propellant: Hydrogen plasma \nFusion fuel: D-T \nBurn time: 30 minutes (est) \nMass: 4,650 kg \nManufacturer: Nakamura Dynamics



SYSTEM_MAIN_ENGINE_ZURBIN|ND ZURBIN engine

SYSTEM_MAIN_ENGINE_ZURBIN_DESC|The Zurbin engine is the high-performance main engine of the Tsukuyuomi class of frigates. Now decomissioned, these engines see use still aboard the frigates, albeit long gone from the days of combat involvement. Nakamura Dynamics did make a push to reuse any from scrapped frigates, putting them to use in their Phage class of autonomous stations.

SYSTEM_MAIN_ENGINE_ZURBIN_SPECS|Thrust: 6,900 kN \nExhaust velocity: 66 km/s \nPropellant consumption: 104.5 kg/s \nPower consumption: 20 MW \nOperation mode: Variable thrust \nPropellant: Oxygen-Hydrogen plasma \nMass: 10,000 kg \nManufacturer: Nakamura Dynamics



SYSTEM_MAIN_ENGINE_PMS|ND PMS engine

SYSTEM_MAIN_ENGINE_PMS_DESC|The PMS is the predecessor to the NTTR thruster. Nakamura Dynamics's first large NTR type thruster, it held up with a high performance, even today, however holds the worst propellant economy of any thruster on the market. Many captains opt to use other torches due to the sheer inefficiency and relatively high cost, however they do come at a sheer reliability curve unmatched by any other thruster on the market, capable of operating at an acceleration well in exceeding 300 m/s/s.

SYSTEM_MAIN_ENGINE_PMS_SPECS|Thrust: 3,000 kN \nExhaust velocity: 3 km/s \nPropellant consumption: 1000 kg/s \nPower consumption: 20 MW \nOperation mode: Variable thrust \nPropellant: Oxygen-Hydrogen plasma \nMass: 0.5 kg \nManufacturer: Nakamura Dynamics


SLOT_TURRET_LEFT|Left Turret Mount
SLOT_TURRET_RIGHT|Right Turret Mount



SLOT_TUBE_LEFT_UP|Left Upper Torpedo Vestibule
SLOT_TUBE_RIGHT_UP|Right Upper Torpedo Vestibule
SLOT_TUBE_LEFT_DN|Left Lower Torpedo Vestibule
SLOT_TUBE_RIGHT_DN|Right Lower Torpedo Vestibule



SLOT_DRONE|Drone Mount

SLOT_MAIN_LARGE|Large Main Propulsion

SLOT_RCS_LARGE|Large Reaction Control System

SLOT_CARGO_MPU|Cargo Bay MPU


SYSTEM_CARGO_MPU_FURN|Rusatom-Antonoff MPU Mk2

SYSTEM_CARGO_MPU_FURN_DESC|This Mark-2 variant of the Rusatom-Antonoff Mineral Processing Unit, affectionately termed "the Gulper" by ringside miners, combines the best qualities of its predecessor with an inlet cuff and additional heating elements, increasing overall efficiency and reclamation yields at the cost of decreased operational reach.

SYSTEM_CARGO_MPU_FURN_SPECS|Processing capacity: 25 kg/s \nPower draw: 25 MW / chunk \nMineral processing efficiency: 60% \nRemass processing efficiency: 40% \nMass: 3,000 kg \nManufacturer: Rusatom-Antonoff


SYSTEM_CARGO_MPU_BULK|THI Bulker MPU

SYSTEM_CARGO_MPU_BULK_DESC|The Titan Heavy Industries "Bulker" MPU was introduced to the market in the mid-2200s, but has only seen distribution among Enceladian miners following trade agreements in the 2260s. Its simple design is a classic example of THI's "less is more" approach to engineering. \n\nHeavy and awkward to load compared to other MPUs, what makes the Bulker unique is its inbuilt storage capacity. The internals of a THI-CC drone have been incorporated beneath the processing area; while the bins have been reduced in size, they can still dramatically increase the mineral capacity of any vessel they're installed in.

SYSTEM_CARGO_MPU_BULK_SPECS|Cargo capacity: 10,000 kg / mineral (60,000 kg total) \nProcessing capacity: 40 kg/s \nPower draw: 100 MW / chunk \nMineral processing efficiency: 70% \nRemass processing efficiency: 20% \nMass: 8,000 kg \nManufacturer: Titan Heavy Industries


SYSTEM_TURBINE_20|Thermocouple Array

SYSTEM_TURBINE_20_DESC|This simple thermocouple array utilises the thermal gradient between the vessel's reactor and propellant to generate electricity. A negligible amount of reaction mass is vented overboard in the process.

SYSTEM_TURBINE_20_SPECS|Power (nominal): 20 MW \nPropellant consumption: 20 g/s \nMass: 100 kg \nManufacturer: Rusatom-Antonoff



SYSTEM_TURBINE_160|Laminar Turbine

SYSTEM_TURBINE_160_DESC|This power generation unit for fission craft utilises the might of German engineering (and an AI-optimised design) to minimise flow turbulence and heat losses in a four-stage regenerative turbine assembly.

SYSTEM_TURBINE_160_SPECS|Power (nominal): 160 MW \nPropellant consumption: 160 g/s \nMass: 600 kg \nManufacturer: Boltzmann Waermerkraftmaschinen



SYSTEM_TURBINE_320|Dual Laminar Turbine

SYSTEM_TURBINE_320_DESC|This power generation unit for fission craft utilises the might of German engineering (and an AI-optimised design) to minimise flow turbulence and heat losses in two four-stage regenerative turbine assemblies. Remass and pressure is evenly split between the two with a novel solid-state valve body.

SYSTEM_TURBINE_320_SPECS|Power (nominal): 320 MW \nPropellant consumption: 320 g/s \nMass: 1,200 kg \nManufacturer: Boltzmann Waermerkraftmaschinen

SYSTEM_RODS_1|1x SO6 fuel rod

SYSTEM_RODS_1_DESC|This Rusatom-Antonoff SO6 nuclear fuel rod, commonly called a "sunshard", is a standard fuel for early interplanetary NTR designs. The SO6 utilize a liquid thorium-based core encased in a solid shell. The stress and composition yield extremely high operating temperatures. \n\nThe perfect gift for the aspiring ship captain. Lead-lined wrapping material in a variety of designs and colours is available on request.

SYSTEM_RODS_1_SPECS|Manufacturer: Rusatom-Antonoff \nOperating temperature: 3,500 K \nFailure point: 4,500 K \nMass: 400 kg \nThermal power: 1 GW

SYSTEM_CAPACITOR_100|Light Ultracapacitor

SYSTEM_CAPACITOR_100_DESC|A graphene fractal ultracapacitor cylinder for storing excess generated power, for availability during peak usage. Compact unit at a reasonable price.

SYSTEM_CAPACITOR_100_SPECS|Capacity: 100 MJ \nPeak power: 10 GW \nMass: 400 kg  \nManufacturer: Obonto Micro Engineering



SYSTEM_CAPACITOR_700|ND-iSMB

SYSTEM_CAPACITOR_700_DESC|The Nakamura Dynamics Internal Superconducting Magnetic Battery is a alternative temporary energy storage solution that was proposed after the success of the NDAPS auxiliary power unit. Though heavily shielded to prevent remass plasma from disrupting the field, its direct interface to a vessel's electrical buses allows for maximal discharge and recharge rates with minimal losses.

SYSTEM_CAPACITOR_700_SPECS|Capacity: 700 MJ \nPeak power: 10 GW \nMass: 1,800 kg \nManufacturer: Nakamura Dynamics


SYSTEM_CAPACITOR_1400|ND-iSMB Dual Coupling

SYSTEM_CAPACITOR_1400_DESC|Two smaller iSMB units, joined by a heavy-duty power balancer. By intentionally permitting interactions between the two magnetic fields, more energy can effectively be stored in smaller hardware.

SYSTEM_CAPACITOR_1400_SPECS|Capacity: 1,400 MJ \nPeak power: 10 GW \nMass: 3,200 kg \nManufacturer: Nakamura Dynamics

SYSTEM_AUX_MPD_1400|OPG-14 StatPlasma

SYSTEM_AUX_MPD_1400_DESC|Extreme power requirements, such as the industrial furnaces of refinery stations, requires an extreme power solution, and Obonto Microengineering's StatPlasma is it. Enthusiasts and electrical engineers (though there is little distinction) have taken to calling it "the pinecone" due to its unusual helical conversion chamber that narrows towards the recovery outlet. \n\nNote: this unit may require a small period of warmup before reaching its full power output.

SYSTEM_AUX_MPD_1400_SPECS|Power draw: 200 MW \nThermal draw: 2.5 GW \nPower (nominal): 1,400 MW \nWarmup time: 5 s \nMass: 12,250 kg \nType: MPDG \nManufacturer: Obonto Microengineering



SYSTEM_AUX_MPD_2000|MPI City-class MPDG

SYSTEM_AUX_MPD_2000_DESC|This godforsaken monster of an MPDG literally can't fit in the hull of most vessels, having to be mounted externally and interfaced via multiple feed lines. The ultimate power plant of large settlements on Mars and beyond. \n\nNote: This unit requires a significant period of warmup before reaching its full power output. MPI strongly advises that you do not remove any sigils, engravings, or other marks on the unit.

SYSTEM_AUX_MPD_2000_SPECS|Power draw: 300 MW \nThermal draw: 4 GW \nPower (nominal): 2,000 MW \nWarmup time: 15 s \nMass: 16,660 kg \nType: MPDG with recovery turbine assembly \nManufacturer: Mars Power Industries

IOE_MOD_DESCRIPTION|This port of the Industries of Enceladus mod aims to bring full compatability with the content of IoE with that of other equipment mods. \n\nCompatability with saves using the original IoE isn't supported (yet) \n\nCredit: \nSpaceDotEXE - Original mod creator \nZa'krin Yoran - much of the hard work behind the mod's backend and aided with the original development \n__hev - Conversion to a compatable state
